Dimension (Width or Height),Aspect Ratio,MovingCharacter,PosingCharacter
4.5,0.1324,,l
6.61,0.1943,,1
8.71,0.2563,,I
10.82,0.3183,,b
12.93,0.3803,"7, く",g
15.04,0.4422,5,J
17.14,0.5042,"ノ, り","F, ト"
19.25,0.5662,"メ, と","q, p"
21.36,0.6282,"Z, す",
23.46,0.6901,"N, ら","0, も"
25.57,0.7521,ん,イ
27.68,0.8141,な,"K, Y"
29.79,0.8761,そ,"ネ, T"
31.89,0.938,"ヤ, ヒ, チ","よ, ホ"
34.0,1.0,"ひ, 人, か, ゆ, 八","木, オ, 十"
31.89,1.0661,"六, や, ふ, た",七
29.79,1.1415,"ム, X, ル","モ, テ"
27.68,1.2284,"ヌ, て, 九","V, A"
25.57,1.3296,"ハ, せ, カ",
23.46,1.449,"つ, ス","O, h"
21.36,1.592,,三
19.25,1.7662,,エ
17.14,1.9833,へ,"二, m, w"
15.04,2.2613,,"n, v"
12.93,2.6298,,"u, t"
10.82,3.1419,,c
8.71,3.9016,,
6.61,5.1459,,
4.5,7.5556,,一
